Domain name,name,title,description,robots,viewport,canonical,ogLocale,ogSiteName,ogType,ogTitle,ogDescription,ogUrl,ogImage,ogImageAlt,Domain type,Agency,Organization name,City,State,score,count
benefits.gov,Department Of Labor,1,0,0,1,0,0,0,1,1,1,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,38.0,5
mshastanddown.gov,Department Of Labor,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Mine Safety and Health Administration,Washington,DC,23.0,3
hirevets.gov,Department Of Labor,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,23.0,3
unionreports.gov,Department Of Labor,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,23.0,3
trainingproviderresults.gov,Department Of Labor,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,15.0,2
jobcorps.gov,Department Of Labor,1,1,0,1,1,1,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Employment and Training Administration (ETA) - Office of Job Corps,Washington,DC,38.0,5
veterans.gov,Department Of Labor,1,0,0,1,1,0,1,0,1,1,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,62.0,8
govloans.gov,Department Of Labor,1,1,0,1,0,0,0,1,1,1,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,46.0,6
whistleblowers.gov,Department Of Labor,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,15.0,2
workcenter.gov,Department Of Labor,1,1,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of Labor,Office of the Assistant Secretary for Administration & Management,Washington,DC,92.0,12
employer.gov,Department Of Labor,1,1,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,23.0,3
worker.gov,Department Of Labor,1,0,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,85.0,11
youthrules.gov,Department Of Labor,1,1,0,1,1,0,1,0,1,1,1,1,1,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,77.0,10
wrp.gov,Department Of Labor,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Labor,Office of the Chief Information Officer,Washington,DC,15.0,2
state.gov,Department Of State,1,1,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of State,Bureau of Global Public Affairs (GPA),Washington,DC,92.0,12
usconsulate.gov,Department Of State,1,1,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of State,Bureau of Global Public Affairs (GPA),Washington,DC,92.0,12
pepfar.gov,Department Of State,1,1,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of State,Bureau of Global Public Affairs (GPA),Washington,DC,92.0,12
usmission.gov,Department Of State,1,1,1,1,1,1,1,1,1,1,1,1,0,Federal - Executive,Department of State,Bureau of Global Public Affairs (GPA),Washington,DC,92.0,12
distracteddriving.gov,Department Of Transportation,1,1,1,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,Washington,DC,77.0,10
dot.gov,Department Of Transportation,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Transportation,Department of Transportation,Washington,DC,31.0,4
usembassy.gov,Department Of State,1,1,1,1,1,1,1,1,1,1,1,0,0,Federal - Executive,Department of State,Bureau of Global Public Affairs (GPA),Washington,DC,85.0,11
flightrights.gov,Department Of Transportation,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Transportation,U.S. Department of Transportation Office of Aviation Consumer Protection,Washington,DC,31.0,4
nhtsa.gov,Department Of Transportation,1,1,1,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,Washington,DC,77.0,10
flyhealthy.gov,Department Of Transportation,1,0,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Transportation,Federal Aviation Administration,Washington,DC,23.0,3
safeocs.gov,Department Of Transportation,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of Transportation,Bureau of Transportation Statistics,Washington,DC,8.0,1
transportation.gov,Department Of Transportation,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Transportation,U.S. Department of Transportation,Washington,DC,31.0,4
trafficsafetymarketing.gov,Department Of Transportation,1,1,0,1,1,0,0,0,0,0,0,0,0,Federal - Executive,Department of Transportation,National Highway Traffic Safety Administration,Washington,DC,31.0,4
acwi.gov,Department Of The Interior,1,0,0,0,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of the Interior,Advisory Committee on Water Information,Reston,VA,8.0,1
bia.gov,Department Of The Interior,1,0,0,1,0,0,0,0,0,0,0,0,0,Federal - Executive,Department of the Interior,Bureau of Indian Affairs,Reston,VA,15.0,2
va.gov,Department Of Veterans Affairs,1,0,0,1,1,0,1,1,1,0,1,1,0,Federal - Executive,Department of Veterans Affairs,"Office of Information and Technology, IT Operations and Services (ITOPS)",Washington,DC,62.0,8
reach.gov,Department Of Veterans Affairs,1,1,0,1,0,0,0,1,1,1,0,1,0,Federal - Executive,Department of Veterans Affairs,Department of Veterans Affairs - PREVENTS,Washington,DC,54.0,7
